RA_ICRS;DE_ICRS;Plx;pmRA;pmDE;Gmag;BPmag;RPmag
deg;deg;mas;mas/yr;mas/yr;mag;mag;mag
349.98296638887;+71.38803870050;    0.4336;   -4.350;    0.338;19.6551;20.1464;18.7450
349.98444601049;+71.40308716284;          ;         ;         ;21.0096;       ;
350.00899005895;+71.39473779554;    0.1876;   -2.038;   -0.649;15.5245;16.3814;14.6103
350.00289534744;+71.39713125545;    1.2289;    1.316;   -1.813;16.7273;17.5193;15.8524
349.96603166795;+71.39445221093;    0.0464;   -1.488;    0.550;15.6903;16.5473;14.7705
350.00258547022;+71.39601725648;   -0.2053;    3.868;    1.615;20.3628;20.7372;19.1131
349.97777780428;+71.40431269031;    0.4024;    0.713;   -0.200;18.0754;18.7394;17.1999
349.96338797988;+71.40303467400;    0.5705;   -2.436;   -0.127;19.4987;20.4429;18.3237
349.95623249462;+71.40411049572;   -0.0254;   -1.042;    0.664;20.2475;20.6481;19.1193
350.09876696672;+71.40375155523;    0.6893;   -2.417;   -0.847;20.3862;20.4316;19.3682
350.09128302706;+71.39832069690;    0.4229;   -2.815;   -0.210;16.0522;16.6232;15.3274
350.09567415068;+71.40166970444;    1.9805;    0.165;   -4.855;18.3066;19.6381;17.0988
350.08404618350;+71.40319556046;    0.9323;    1.963;    1.305;18.7091;19.9062;17.4017
350.07255883490;+71.40005578861;    0.7487;   -0.205;    1.152;19.6970;20.3324;18.7262
350.10667498625;+71.40889502053;    0.1548;   -1.006;    0.878;20.1802;20.6264;19.1322
350.11972073590;+71.39955570871;    0.0219;   -1.324;    0.890;18.7272;19.4507;17.8132
350.08399956915;+71.39917915385;    1.0096;   -2.873;    0.765;20.3229;20.8493;19.4817
350.06709945289;+71.38983545910;    0.3627;    5.552;   -0.701;20.8335;21.1848;19.6293
350.10600268107;+71.39776979982;          ;         ;         ;20.9677;21.0247;19.7894
350.08999849104;+71.39971013540;    0.0361;   -2.581;   -3.262;19.9040;20.6991;18.9375
350.08434177235;+71.40306054285;          ;         ;         ;20.4376;       ;
350.06846361756;+71.38312720184;    0.3601;    0.095;    1.299;20.6708;20.6741;19.8654
350.07186309975;+71.39033618298;    0.4589;   -7.232;    0.617;18.3940;19.1298;17.4841
350.08829234940;+71.39125453417;    0.0811;   -4.636;   -1.090;18.2993;18.8739;17.5513
350.03585986518;+71.39522390017;    0.5189;   -1.793;   -1.726;19.4924;20.0717;18.7421
350.11281815486;+71.39586681409;    0.0994;   -1.736;    0.145;19.7601;20.2570;18.8875
350.04630589253;+71.39289349286;    1.6705;   21.292;  -10.258;19.6467;20.7912;18.3588
350.09710141426;+71.39564967841;    0.1065;   -3.767;   -3.846;20.3062;20.5968;19.3099
350.11729752682;+71.39275495481;    0.0417;   -0.697;    0.494;17.8165;18.7560;16.8531
350.09756368635;+71.40576347637;    0.9114;   -5.204;   -4.380;16.2588;16.9757;15.4245
350.14616849380;+71.40299926675;    0.2065;   -0.542;   -0.747;18.2070;18.9486;17.3714
350.16021343033;+71.41061026714;    1.3806;   -0.497;   -4.630;20.8905;21.6433;19.7580
350.13241299892;+71.39987443558;   -0.0074;   -2.198;   -0.328;17.8776;18.5745;17.0469
350.13749335088;+71.40133927179;    0.2967;   -1.800;   -1.031;18.4908;19.2891;17.5813
350.11790833494;+71.40824049838;    0.9628;    0.564;  -10.080;19.3844;20.2441;18.2464
350.18664313440;+71.41223768306;    0.9728;  -14.793;   -5.850;16.7495;17.5944;15.8364
350.16286991620;+71.40655558082;          ;         ;         ;15.9410;16.6143;14.8694
350.21227891959;+71.42861264848;          ;         ;         ;20.8668;20.7921;19.8040
350.14083483270;+71.39826261141;          ;         ;         ;21.1550;       ;
350.21109066987;+71.42453591147;    0.3365;    0.885;   -1.716;19.3351;20.0914;18.4532
350.18908801340;+71.43035739766;          ;         ;         ;21.0469;       ;
350.16038282295;+71.42547593742;   -0.9106;   -0.566;    1.737;20.4736;20.6792;19.5896
350.13502830027;+71.40027612362;    0.0550;   -0.155;    0.176;19.6968;20.3317;18.7135
350.20665108355;+71.42953960700;    0.0699;   -2.304;    0.014;18.6265;19.1939;17.8820
350.14014310272;+71.40857726075;    0.3741;   -3.308;    0.300;20.6968;21.2154;19.5710
350.13245520973;+71.39658208233;    0.2641;   -1.198;   -1.316;18.3129;       ;
350.13200334661;+71.39666606383;    0.3090;   -0.455;   -0.172;17.0441;       ;
350.12855843610;+71.39620891620;    0.0693;   -2.716;   -0.693;18.9573;19.2973;17.8585
350.20053979396;+71.41448301304;    1.3275;   -4.009;   -4.218;20.6656;21.2144;19.4289
350.13073215712;+71.39699898641;    2.7484;   -5.984;   -1.926;14.3487;15.0414;13.5055
